Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Bag/Case closure (product.metafields.shopify.bag-case-closure),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Compatible baby bottle design (product.metafields.shopify.compatible-baby-bottle-design),Energy efficiency class (product.metafields.shopify.energy-efficiency-class),Target gender (product.metafields.shopify.target-gender),Temperature control (product.metafields.shopify.temperature-control),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lightweight-baby-stroller-compact-toddler-travel-stroller-for-airplane-infant-stroller-w-5-point-harness-adjustable-backrest,"Ultra-Light Travel Baby Stroller â€“ Compact, Airplane-Ready Design with Adjustable Recline & Secure 5-Point Harness","<h1>SPECIFICATIONS</h1>
<p><span>Age Range</span>: <span style=""color: #333;"">1-2y</span></p>
<p><span>Brand Name</span>: <span style=""color: #333;"">NoEnName_Null</span></p>
<p><span>Hign-concerned Chemical</span>: <span style=""color: #333;"">None</span></p>
<p><span>Is Foldable</span>: <span style=""color: #333;"">Y</span></p>
<p><span>Load Bearing</span>: <span style=""color: #333;"">5Kg</span></p>
<p><span>Material</span>: <span style=""color: #333;"">others</span></p>
<p><span>Origin</span>: <span style=""color: #333;"">Mainland China</span></p>
<p>Â </p>
<p>Â </p>
<p><br><br></p>
<p><br><br></p>
<p>Â </p>",Glowify,,"","",true,Color,BLUE,,Ships From,United States,,,,,14:173#BLUE;200007763:201336106,7000.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,210.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S555e0d4b0d7145438605b251317a88b8u.webp?v=1763528837,1,"",false,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S555e0d4b0d7145438605b251317a88b8u.webp?v=1763528837,kg,,117.91,active
lightweight-baby-stroller-compact-toddler-travel-stroller-for-airplane-infant-stroller-w-5-point-harness-adjustable-backrest,,,,,,,,,PINK,,,United States,,,,,14:365461#PINK;200007763:201336106,7000.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,210.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S7f7a2dfec9234347bb6579a408db5253t.webp?v=1763528837,2,"",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S7f7a2dfec9234347bb6579a408db5253t.webp?v=1763528837,kg,,117.91,
mamazing-ultra-air-x-lightweight-travel-stroller-9-9lbs-carbon-fiber-with-upf50-waterproof-fabric-brown,"MAMAZING Ultra Air X Travel Stroller â€” 9.9 lb Carbon Fiber Lightweight, Recline Seat, UPF 50+, Up to 55 lb Capacity","<h1>SPECIFICATIONS</h1>
<p><span>Age</span>: <span style=""color: #333;"">0-36 Months</span></p>
<p><span>Age Range</span>: <span style=""color: #333;"">Maternity</span></p>
<p><span>Brand Name</span>: <span style=""color: #333;"">Mamazing</span></p>
<p><span>Certification</span>: <span style=""color: #333;"">ASTM</span></p>
<p><span>Hign-concerned Chemical</span>: <span style=""color: #333;"">None</span></p>
<p><span>Is Foldable</span>: <span style=""color: #333;"">Y</span></p>
<p><span>Load Bearing</span>: <span style=""color: #333;"">&gt;20KG</span></p>
<p><span>Material</span>: <span style=""color: #333;"">others</span></p>
<p><span>Origin</span>: <span style=""color: #333;"">Mainland China</span></p>
<p><img src=""https://ae01.alicdn.com/kf/S1e673607bbb041cb887b91868467d2dbP.jpg""></p>",Glowify,Uncategorized,Travel & Gears,"#diaperbags, Baby carrier",true,Color,Brown,,Ships From,United States,,,,,14:4602#Brown;200007763:201336106,5260.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,299.99,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S4eaa7c5c415b4760a905aa1d4ab1689b0.webp?v=1763356027,1,"",false,,,'1,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S4eaa7c5c415b4760a905aa1d4ab1689b0.webp?v=1763356027,kg,,198.99,active
mamazing-ultra-air-x-lightweight-travel-stroller-9-9lbs-carbon-fiber-with-upf50-waterproof-fabric-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S450263f7c8714eedb99c0d079c08bd79Z.webp?v=1763356027,2,"",,,,,,,,,,,,,,,,
high-quality-newborn-lightweight-baby-stroller-folding-cart-comfort-baby-stroller-3-in-1-child-safety-seat-with-isofix,Lightweight Foldable Baby Stroller â€” 3-in-1 Travel System (LATCH),"<h1>SPECIFICAIONÂ </h1>
<p>Discover the perfect blend of comfort, safety, and convenience with the Glowify 3-in-1 Lightweight Foldable Baby Stroller.</p>
<p>Â </p>
<p>Designed for modern parents, this stroller easily transforms from stroller to car seat and full travel system â€” keeping your baby secure and cozy wherever you go. The LATCH-compatible car seat ensures a snug, safe fit, while the one-hand fold design makes it simple to store or travel with.</p>
<p>Â </p>
<p>Built with a durable metal frame and breathable, easy-clean fabrics, itâ€™s perfect for city walks, family trips, or daily errands. The adjustable handle offers comfort for parents of all heights, and the large sunshade canopy keeps your little one protected from harsh sunlight.</p>
<p>Â </p>
<p>ðŸ‘¶ Suitable Age Range:</p>
<p>â€¢ 0â€“6 months â€” fully reclining newborn comfort</p>
<p>â€¢ 7â€“12 months â€” semi-recline sitting &amp; exploring stage</p>
<p>â€¢ 13â€“24 months â€” toddler upright mode for strolls</p>
<p>â€¢ 25â€“36 months â€” durable enough for growing toddlers</p>
<p>Â </p>
<p>âœ… One-hand quick fold</p>
<p>âœ… Lightweight aluminum frame</p>
<p>âœ… LATCH-compatible infant car seat</p>
<p>âœ… Adjustable handle &amp; full sunshade</p>
<p>âœ… Fast, reliable U.S. shipping</p>
<p>Â </p>
<p>Because every journey with your baby should feel this easy.</p>",Glowify,Baby & Toddler > Baby Transport > Baby Strollers,Travel & Gears,"3 in 1 stroller, Baby registry item, Baby safety, Baby shower gift, Baby stroller, Baby travel gear, Comfortable baby stroller, Easy fold and draggable stroller, Foldable stroller, Infant car seat, Lightweight stroller, Mom must have, Newborn essential, Stroller with sunshade, Toddler stroller, Travel stroller, Usa warehouse",true,Color,white with Latch,,Ships From,United States,,,,,14:200006152#white with isofix;200007763:201336106,15000.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,319.99,379.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S84aceb588e0848568abc992f104826638.webp?v=1760096771,1,"",false,,,'11,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S37dceafa3b8e4c008ad3988b501b8f51Z.webp?v=1760096771,kg,,174.51,active
high-quality-newborn-lightweight-baby-stroller-folding-cart-comfort-baby-stroller-3-in-1-child-safety-seat-with-isofix,,,,,,,,,grey with Latch,,,United States,,,,,14:200006157#grey with isofix;200007763:201336106,15000.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,319.99,379.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S37dceafa3b8e4c008ad3988b501b8f51Z.webp?v=1760096771,2,"",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/Sb8e39e99e0594d8ea8f0ec385b81fcba4.webp?v=1760096771,kg,,174.51,
high-quality-newborn-lightweight-baby-stroller-folding-cart-comfort-baby-stroller-3-in-1-child-safety-seat-with-isofix,,,,,,,,,black with Latch,,,United States,,,,,14:200004889#black with isofix;200007763:201336106,15000.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,319.99,379.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/Sb8e39e99e0594d8ea8f0ec385b81fcba4.webp?v=1760096771,3,"",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/Sfc940b875d274b56a9a350a889c745db7.webp?v=1760096771,kg,,174.51,
high-quality-newborn-lightweight-baby-stroller-folding-cart-comfort-baby-stroller-3-in-1-child-safety-seat-with-isofix,,,,,,,,,BG with Latch,,,United States,,,,,14:201619813#BG with isofix;200007763:201336106,15000.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,319.99,379.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/Sfc940b875d274b56a9a350a889c745db7.webp?v=1760096771,4,"",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S84aceb588e0848568abc992f104826638.webp?v=1760096771,kg,,174.51,
foldable-baby-stroller-metal-frame-adjustable-handle-direction-with-sunshade-very-suitable-for-outdoor-shopping,"Lightweight Foldable Baby Stroller â€“ Safe, Stylish & Perfect for Every Outdoor Adventure","<h1>SPECIFICATIONS</h1>
<p><span>Age Range</span>: <span style=""color: #333;"">0-1Y,1-2y</span></p>
<p><span>Brand Name</span>: <span style=""color: #333;"">NoEnName_Null</span></p>
<p><span>Hign-concerned Chemical</span>: <span style=""color: #333;"">None</span></p>
<p><span>Is Foldable</span>: <span style=""color: #333;"">Y</span></p>
<p><span>Load Bearing</span>: <span style=""color: #333;"">10kg</span></p>
<p><span>Material</span>: <span style=""color: #333;"">others</span></p>
<p><span>Model Number</span>: <span style=""color: #333;"">G301</span></p>
<p><span>Origin</span>: <span style=""color: #333;"">Mainland China</span></p>
<p><img alt=""Shopify"" src=""https://cdn.shopify.com/shopifycloud/web/assets/v1/vite/client/en/assets/shopify-glyph-white-DZNyE9BvHIk-.svg"" class=""_ShopifyLogo_8a9i4_18 _mounted_8a9i4_48""><img src=""https://ae01.alicdn.com/kf/Sc1bf996617f4499b9824c991d6a3ef78w.jpg""><br></p>",Glowify,Baby & Toddler,Baby clothes,"#diaperbags, 3 in 1 stroller, Baby carrier, Baby travel gear, travel and gear, Travel stroller",true,Color,Pink,,Ships From,United States,,,,,14:365461;200007763:201336106,9500.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,289.99,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S6104ab85e592468e87d638d3fb41c1acC.webp?v=1763356056,1,"",false,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/Sdc6bc85650f044acbe1ca0b2e94351e3q.webp?v=1763356056,kg,,182.96,active
foldable-baby-stroller-metal-frame-adjustable-handle-direction-with-sunshade-very-suitable-for-outdoor-shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/S309df337bcad4a61ac5a4567d3ae7199F.webp?v=1763356056,2,"",,,,,,,,,,,,,,,,
foldable-baby-stroller-metal-frame-adjustable-handle-direction-with-sunshade-very-suitable-for-outdoor-shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0929/8178/9042/files/Sdc6bc85650f044acbe1ca0b2e94351e3q.webp?v=1763356056,3,"",,,,,,,,,,,,,,,,
